,category,title,price,rating,No of reviews
2188,"['Sports & Outdoors', 'Sports & Fitness', 'Hunting & Fishing', 'Hunting', 'Clothing', 'Shirts']",badlands altitude odor-blocking long sleeve crew,70.595,5.0,4
2189,"['Computers & Accessories', 'Desktop Barebones']",hiletgo ota wemos d1 ch340 wifi development board esp8266 esp-12f arduino ide uno r3,17.99,4.4,97
2190,"['Tools & Home Improvement', 'Rough Plumbing', 'Trim & Repair Kits']",prier . 630-7755 wall hydrant repair kit,24.385,4.7,6
2191,"['Health & Household', 'Personal Care', 'Piercing & Tattoo Supplies', 'Piercing Guns']",2 pcs anzero spring automatic ear piercing gun disposable self kit painless portable 3mm earring studs new generation,8.99,4.4,57
2192,"['Arts, Crafts & Sewing', 'Craft Supplies', 'Punches']",hexagon punch 1 inch craft lever handmade paper crafting scrapbookingdiy card making candy colour rondam,6.95,4.4,80
2193,"['Baby', ' For Moms']",insen pregnancy body pillow jersey coverc shaped full pregnant women,38.99,4.5,2849
2194,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Cables & Interconnects', 'Composite Video']",4k displayport cable 10ft sweguard dp lead 1.2 gold-plated braided high speed cord supports @ 60hz 2k 165hz 144hz 3d laptop pc projector tv gaming monitor-grey,13.99,4.8,41
2195,"['Musical Instruments', 'Ukuleles']",luna tattoo concert mahogany acoustic electric ukulele preamp gig bag,119.0,4.7,728
2196,"['Automotive', 'Oils & Fluids', 'Greases & Lubricants', 'Wheel Bearing']",energy suspension 9.11104 formula 5 prelube grease 8 oz .,110.29,4.5,52
2197,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Walking']",tiosebon women walking sock shoes lightweight slip breathable yoga sneakers,27.490000000000002,4.4,770
2198,"['Baby', 'Feeding', ' Solid Feeding']",skip hop toddler snack cup bat,10.83,4.6,2942
2199,"['Office Products', 'Office Supplies', 'Writing & Correction Supplies', 'Technical Pens']",koh-i-noor rapidograph technical artist pen.13mm nib 1 3165.6z,31.685,4.1,36
2200,"['Grocery & Gourmet Food', 'Pantry Staples', 'Soups, Stocks & Broths', ' Broths']",savory choice beef demi glace reduction sauce packet 75gr pack 3,20.450000000000003,4.6,339
2201,"['Automotive', 'Replacement Parts', 'HVAC Motors']",hvac blower motor resistor 4720278 fit 94-09 dodge ram 1500 2500 3500 1993 jeep grand wagoneer 97-99 cherokee 973020 68004241aa 5012212aa,10.99,5.0,3
2202,"['Industrial & Scientific', 'Hydraulics, Pneumatics & Plumbing', 'Seals & O-Rings', ' Seals']",trim-lok d-shaped rubber seal thick wall – .50 ” height width 100 ’ length epdm foam ht general acrylic pressure sensitive adhesive system door window weather cars trucks rvs boats,4.97,3.8,5
2203,"['Sports & Outdoors', 'Sports & Fitness', 'Hunting & Fishing', 'Fishing', 'Lures, Baits & Attractants', ' Lures']",yo-zuri crystal 3d minnow deep diver lure,16.060000000000002,4.7,231
2204,"['Toys & Games', 'Learning & Education', 'Microscopes']",amscope 1200x 52-pcs kids student beginner microscope kit slides led light storage box bookthe world,21.99,3.9,11
2205,"['Arts, Crafts & Sewing', 'Craft Supplies', 'Unfinished Wood']",fuyit natural wood slices 30 pcs 2.8-3.1 inches unfinished craft kit undrilled wooden circles without hole tree slice bark arts painting christmas ornaments diy crafts,13.99,4.5,83
