,category,frequency,avg_rating,avg_price,avg_num_reviews
163,Shocks,32,4.5625,80.07078125000001,39.65625
164,Wall Treatments & Supplies,32,4.309375,25.921875,497.53125
165,Professional Dental Supplies,32,4.115625,75.61609375,16.40625
166,Foot,31,4.551612903225807,15.11451612903226,1495.1612903225807
167,Hand & Nail Care,31,4.551612903225807,15.11451612903226,1495.1612903225807
168,Hunting,31,4.461290322580645,59.86983870967743,175.70967741935485
169,Bathroom Fixtures,30,4.48,143.00516666666664,286.8333333333333
170,Struts & Suspension,30,4.5600000000000005,83.53283333333334,40.233333333333334
171,Grills & Outdoor Cooking,30,4.453333333333333,36.291666666666664,407.46666666666664
172,Produce,30,4.320000000000001,26.043666666666663,315.8
173,Rough Plumbing,30,4.416666666666666,57.00299999999999,167.0
174,Adhesives,29,4.544827586206897,45.25241379310346,277.37931034482756
175,Power Tools,29,4.393103448275863,146.71965517241378,627.2758620689655
176,Sports & Outdoor Play,29,4.313793103448276,40.57810344827587,812.6206896551724
177,Lab Instruments & Equipment,29,4.393103448275863,93.65448275862067,92.65517241379311
178,Car Electronics,29,4.286206896551724,59.1941379310345,202.68965517241378
179,Drums & Percussion,29,4.103448275862069,115.25379310344825,39.03448275862069
180,Parts & Components,29,4.441379310344828,42.48810344827586,215.20689655172413
181,Filters,28,4.557142857142857,28.216785714285717,350.9642857142857
182,Skateboarding,28,4.453571428571428,40.79607142857144,215.53571428571428
183,Live Sound & Stage,28,4.346428571428572,47.176428571428566,301.0357142857143
184,Sports Nutrition,28,4.260714285714285,33.02053571428572,1934.9642857142858
185,Oils & Fluids,28,4.503571428571428,37.69214285714286,120.0
186,Juniors,28,4.414285714285715,36.67321428571428,122.07142857142857
187,Baby Boys,28,4.546428571428572,21.210714285714285,452.92857142857144
188,Serveware,27,4.4148148148148145,33.123703703703704,410.51851851851853
189,Pants,27,4.277777777777778,42.56333333333334,137.66666666666666
190,Soccer,27,4.448148148148149,33.970740740740744,1432.111111111111
191,Bathroom Accessories,27,4.351851851851852,18.448703703703707,801.3333333333334
192,Cutting Tools,27,4.425925925925926,24.944814814814816,74.44444444444444
193,Brake System,27,4.485185185185185,62.16777777777778,53.77777777777778
194,Socks,27,4.522222222222222,15.954074074074073,517.5555555555555
195,Abrasive & Finishing Products,27,4.344444444444444,20.69537037037037,46.629629629629626
196,Recording Equipment,26,4.35,114.14288461538462,158.80769230769232
197,Light & Lighting Accessories,26,4.188461538461539,22.175384615384612,276.4230769230769
198,Home Audio & Theater,26,4.273076923076923,155.41884615384618,1978.8076923076924
199,Cutlery & Knife Accessories,26,4.423076923076923,52.81153846153846,785.1538461538462
200,Gun Accessories,26,4.6038461538461535,43.6725,856.3846153846154
201,Beverages,26,4.507692307692308,28.96980769230769,950.9615384615385
202,Maintenance & Storage,26,4.6038461538461535,43.6725,856.3846153846154
203,Supplements,26,4.492307692307692,34.65038461538462,728.6153846153846
204,Gaskets,26,4.330769230769231,16.746538461538464,57.69230769230769
205,Towing Products & Winches,26,4.415384615384616,77.24288461538461,144.84615384615384
206,Sealants & Lubricants,25,4.5680000000000005,50.416000000000004,260.36
207,Industrial Hardware,25,4.448,23.3488,200.44
208,Education & Crafts,25,4.367999999999999,36.7504,633.76
209,Wind & Woodwind Accessories,25,4.024,31.8006,39.92
210,Drum & Percussion Accessories,25,4.712,42.145199999999996,172.84
211,Candles & Holders,25,4.476,21.2682,763.0
212,Gloves,24,4.408333333333334,26.41166666666666,364.2916666666667
213,Glassware & Labware,24,4.4125000000000005,49.87041666666667,241.16666666666666
214,Cookware,24,4.541666666666667,43.51583333333334,1080.4583333333333
215,Occupational Health & Safety Products,24,4.3374999999999995,54.05125,387.6666666666667
216,Transmission & Drive Train,24,4.308333333333334,56.48833333333332,55.875
217,Appliances,24,4.154166666666667,36.51770833333333,119.70833333333333
218,Shoe,24,4.5874999999999995,20.012083333333333,272.75
219,Jewelry & Watch Accessories,24,4.5874999999999995,20.012083333333333,272.75
220,Body,24,4.520833333333333,30.093125,2325.25
221,Pools,23,4.2,71.38847826086956,626.6521739130435
222,Sewing Notions & Supplies,23,4.317391304347826,13.978695652173915,345.17391304347825
223,Hot Tubs & Supplies,23,4.2,71.38847826086956,626.6521739130435
224,Horses,23,4.443478260869566,39.9608695652174,99.34782608695652
225,Office Furniture & Accessories,23,4.360869565217391,143.03391304347824,378.6521739130435
226,RV Parts & Accessories,23,4.534782608695652,50.377173913043485,1327.4782608695652
227,Coffee,23,4.504347826086956,82.1408695652174,1059.8260869565217
228,Belts,23,4.547826086956522,27.829130434782616,122.17391304347827
229,Meat & Seafood,23,4.208695652173914,68.79173913043478,242.30434782608697
230,Mobility Aids & Equipment,23,4.369565217391305,48.62717391304348,561.7826086956521
231,Tennis & Racquet Sports,23,4.0434782608695645,48.83521739130435,180.1304347826087
232,Vacuums & Floor Care,22,4.504545454545455,65.73545454545454,743.7727272727273
233,Dimensional Measurement,22,4.55,87.60227272727275,52.18181818181818
234,Desk Accessories & Workspace Organizers,22,4.422727272727273,37.67795454545455,2444.9545454545455
235,Cheese & Eggs,22,4.286363636363635,32.12590909090909,373.3636363636364
236,Intimates,22,4.054545454545455,14.854545454545455,754.1363636363636
237,Dairy,22,4.286363636363635,32.12590909090909,373.3636363636364
238,Beading & Jewelry Making,22,4.363636363636363,33.1884090909091,343.3636363636364
239,Writing & Correction Supplies,22,4.5590909090909095,15.490909090909094,1371.9545454545455
240,Climbing,21,4.1952380952380945,46.47380952380953,377.3809523809524
241,Baby Care,21,4.576190476190477,20.473333333333336,1071.904761904762
242,Saw Blades,21,4.538095238095237,47.30214285714286,317.95238095238096
243,Luggage & Travel Gear,21,4.438095238095237,34.44571428571428,1276.6666666666667
244,Athletic,21,4.419047619047619,75.14285714285714,553.8095238095239
245,Paper,21,4.414285714285715,36.19380952380952,370.9047619047619
246,Equestrian Sports,21,4.409523809523809,49.65309523809523,33.23809523809524
247,Other Team Sports,21,4.2857142857142865,61.06928571428571,107.85714285714286
248,Bearings & Seals,20,4.484999999999999,31.793,19.25
249,Lighting & Studio,20,4.494999999999999,83.0695,345.95
250,Candy & Chocolate,20,4.4350000000000005,60.571000000000005,859.4
251,Household Cleaning,20,4.325,17.334750000000003,573.55
252,Metals & Alloys,20,4.765,45.437999999999995,23.05
253,Feeding,20,4.595,24.921,1372.5
254,More Systems,20,4.38,66.8375,1130.75
255,Sets,20,4.345,39.6605,674.45
256,Fish & Aquatic Pets,19,4.194736842105263,16.23684210526316,257.63157894736844
257,Cables & Interconnects,19,4.705263157894738,19.225789473684213,6082.8421052631575
258,Sauces,19,4.3157894736842115,36.78,299.89473684210526
259,Gravies & Marinades,19,4.3157894736842115,36.78,299.89473684210526
260,Portable Audio & Video,19,4.178947368421053,32.30105263157895,1253.157894736842
261,Mens,19,4.331578947368421,18.78078947368421,960.9473684210526
262,Mowers & Outdoor Power Tools,19,4.4105263157894745,38.20789473684211,660.9473684210526
263,Microphones,19,4.321052631578947,35.80500000000001,505.5263157894737
264,Trim,19,4.368421052631578,45.636315789473684,196.73684210526315
265,Sexual Wellness,19,4.131578947368421,22.118947368421054,165.6315789473684
266,Welding & Soldering,18,4.444444444444445,38.52861111111111,127.94444444444444
